,Opportunity Number,Type,Brand,State,Country,First Contact Type,Date of First Contact,Date of Giving Proposal,Date of Closing,Number of Contacts,Opportunity Amount (in USD),Customer Size By Revenue,Revenue From Customer (in USD),Customer Size By Number of Employees,Competitor Type,Anonymous Variable 1,Anonymous Variable 2,Anonymous Variable 3,Anonymous Variable 4,Sale
0.087643868,4189,Biscuit,Covenant,Montana,United States,Email,29-01-2014,4/2/2014,4/2/2014,2,50000,USD 0 - 9999,USD 0,0 to 10,Unknown,1,0,0,1,No
0.899519379,35560,Beverage,Fanta,Arizona,United States,Email,29-01-2014,8/2/2014,8/2/2014,2,100000,USD 10000 - 24999,USD 0,0 to 10,Unknown,1,0,0,1,No
0.442893311,25207,Beverage,Coca Cola,Texas,United States,Email,11/1/2014,7/4/2014,7/4/2014,5,150000,USD 100000 - 249999,USD 0,41 and above,Unknown,0.298957,0.701043,0,1,No
0.251944346,39848,Biscuit,Nabisco,Texas,United States,Email,27-01-2014,2/2/2014,2/2/2014,2,100000,USD 0 - 9999,USD 0,0 to 10,Unknown,1,0,0,1,No
0.569065277,7847,Beverage,Fanta,Texas,United States,Email,24-01-2014,25-02-2014,25-02-2014,2,400000,USD 0 - 9999,USD 200000 and above,0 to 10,Unknown,0,1,0,1,No
0.607292605,11035,Biscuit,Oreo,Texas,United States,Email,17-01-2014,5/2/2014,5/2/2014,3,100000,USD 0 - 9999,USD 0,0 to 10,Known,0.994681,0.005319,0,1,No
0.996916341,30255,Biscuit,Covenant,Texas,United States,Email,24-01-2014,5/2/2014,5/2/2014,3,105000,USD 0 - 9999,USD 0,0 to 10,Unknown,1,0,0,1,No
0.263962161,16850,Biscuit,Ritz,Texas,United States,Email,25-01-2014,1/2/2014,1/2/2014,2,40000,USD 0 - 9999,USD 0,0 to 10,None,1,0,0,1,No
0.514036995,44432,Biscuit,Covenant,Arizona,United States,Email,11/1/2014,20-01-2014,20-01-2014,4,47000,USD 0 - 9999,USD 0,0 to 10,Unknown,0.280899,0.359551,0.359551,1.000001,No
0.243943333,31982,Beverage,Coca Cola,Arizona,United States,Email,16-01-2014,16-01-2014,17-01-2014,2,3061,USD 0 - 9999,USD 0,0 to 10,None,0,0,0,0,No
0.993660097,30513,Biscuit,Chips Ahoy,Montana,United States,Email,9/1/2014,17-01-2014,17-01-2014,2,30000,USD 0 - 9999,USD 0,41 and above,Known,0,1,0,1,No
0.0313513,23998,Beverage,Fanta,Utah,United States,Email,21-01-2014,6/2/2014,6/2/2014,4,92024,USD 0 - 9999,USD 0,0 to 10,Unknown,0.006173,0.993827,0,1,No
0.23997334,15147,Biscuit,Chips Ahoy,Texas,United States,Email,3/1/2014,6/1/2014,6/1/2014,2,105000,USD 0 - 9999,USD 0,0 to 10,Known,1,0,0,1,No
0.575531076,10819,Beverage,Coca Cola,Oregon,United States,Email,1/1/2014,1/1/2014,1/1/2014,1,15000,USD 0 - 9999,USD 0,0 to 10,Unknown,0,0,0,0,No
0.773435037,7000,Biscuit,Nabisco,Utah,United States,Email,3/1/2014,16-01-2014,16-01-2014,3,50000,USD 0 - 9999,USD 0,0 to 10,Unknown,0,1,0,1,No
0.869522508,18323,Biscuit,Chips Ahoy,Oregon,United States,Email,15-01-2014,20-01-2014,20-01-2014,2,105000,USD 0 - 9999,USD 0,0 to 10,Unknown,0,1,0,1,No
0.965520443,17948,Beverage,Fanta,Montana,United States,Email,3/1/2014,13-01-2014,13-01-2014,4,100000,USD 0 - 9999,USD 0,0 to 10,Unknown,0.214286,0.785714,0,1,No
0.325449424,36913,Beverage,Coca Cola,California,United States,Email,10/1/2014,10/1/2014,10/1/2014,1,124011,USD 0 - 9999,USD 0,0 to 10,Unknown,0,0,0,0,No
0.088570653,9674,Biscuit,Chips Ahoy,California,United States,Email,4/1/2014,4/1/2014,4/1/2014,2,40303,USD 0 - 9999,USD 25000 - 99999,0 to 10,Unknown,0,0,1,1,No
0.045634627,37172,Beverage,Coca Cola,Utah,United States,Email,13-01-2014,12/2/2014,12/2/2014,3,122699,USD 0 - 9999,USD 0,0 to 10,Known,0,1,0,1,No
0.509348189,44732,Beverage,Fanta,Utah,United States,Email,8/1/2014,8/1/2014,8/1/2014,2,100000,USD 0 - 9999,USD 0,0 to 10,Unknown,0,0,0,0,No
0.845172739,24837,Beverage,Pepsi,Oregon,United States,Email,18-01-2014,8/2/2014,8/2/2014,2,400000,USD 0 - 9999,USD 0,0 to 10,Unknown,0,1,0,1,No
0.987744745,4126,Biscuit,Oreo,Montana,United States,Email,28-01-2014,13-02-2014,13-02-2014,2,105000,USD 0 - 9999,USD 0,0 to 10,Unknown,1,0,0,1,No
0.576069627,38192,Biscuit,Arbo,Utah,United States,Email,23-01-2014,10/2/2014,10/2/2014,3,100000,USD 50000 - 99999,USD 0,41 and above,Known,0,0.670455,0.329545,1,No
0.351374091,6138,Biscuit,Ritz,Utah,United States,Email,29-01-2014,7/2/2014,7/2/2014,4,50000,USD 0 - 9999,USD 0,0 to 10,None,0,1,0,1,No
0.219557969,27304,Biscuit,Chips Ahoy,California,United States,Email,9/1/2014,16-01-2014,16-01-2014,2,300000,USD 0 - 9999,USD 0,0 to 10,Unknown,1,0,0,1,No
0.41134117,12079,Biscuit,Arbo,Washington,United States,Email,7/1/2014,18-01-2014,18-01-2014,2,213000,USD 0 - 9999,USD 0,0 to 10,Unknown,1,0,0,1,No
0.35086478,32330,Beverage,Fanta,Washington,United States,Email,13-01-2014,25-01-2014,25-01-2014,3,58139,USD 0 - 9999,USD 0,0 to 10,Known,0.016949,0.983051,0,1,No
0.151827299,28298,Milk,TruMoo,Arizona,United States,Email,23-01-2014,29-01-2014,29-01-2014,2,110000,USD 0 - 9999,USD 0,0 to 10,Unknown,1,0,0,1,No
0.300230518,22431,Beverage,Fanta,Arizona,United States,Email,20-01-2014,27-01-2014,27-01-2014,2,500000,USD 100000 - 249999,USD 0,0 to 10,Known,1,0,0,1,No
0.441303763,25142,Biscuit,Chips Ahoy,Oregon,United States,Email,11/1/2014,26-01-2014,26-01-2014,5,215000,USD 0 - 9999,USD 0,0 to 10,Unknown,0,0.906667,0.093333,1,No
0.587058164,28197,Beverage,Fanta,Oregon,United States,Email,1/1/2014,2/2/2014,2/2/2014,2,50000,USD 0 - 9999,USD 0,0 to 10,None,0,1,0,1,No
0.975309765,23950,Biscuit,Covenant,Oregon,United States,Email,23-01-2014,6/2/2014,6/2/2014,3,120000,USD 0 - 9999,USD 0,0 to 10,Unknown,0.992701,0.007299,0,1,No
0.802161289,13313,Beverage,Coca Cola,California,United States,Email,17-01-2014,24-02-2014,24-02-2014,2,110000,USD 0 - 9999,USD 0,0 to 10,Unknown,0,1,0,1,No
0.346310114,41630,Biscuit,Ritz,Oregon,United States,Email,12/1/2014,18-01-2014,18-01-2014,2,200000,USD 0 - 9999,USD 0,0 to 10,Unknown,1,0,0,1,No
0.685730569,41361,Biscuit,Covenant,Oregon,United States,Email,5/1/2014,1/3/2014,1/3/2014,6,50000,USD 100000 - 249999,USD 0,41 and above,Known,0.023853,0.242202,0.733945,1,No
0.067876123,27603,Biscuit,Covenant,Oregon,United States,Email,2/1/2014,20-01-2014,20-01-2014,2,400000,USD 0 - 9999,USD 0,0 to 10,Unknown,0,1,0,1,No
0.287577919,40616,Biscuit,Oreo,Utah,United States,Email,7/1/2014,10/1/2014,10/1/2014,2,120000,USD 0 - 9999,USD 0,0 to 10,Unknown,1,0,0,1,No
0.315101017,19873,Beverage,Coca Cola,California,United States,Email,22-01-2014,2/2/2014,2/2/2014,2,200000,USD 50000 - 99999,USD 0,11 to 20,Known,0,1,0,1,No
0.488573862,6020,Beverage,Coca Cola,Washington,United States,Email,18-01-2014,10/2/2014,10/2/2014,4,30000,USD 0 - 9999,USD 0,0 to 10,Unknown,0.121212,0.865801,0.012987,1,No
0.160777578,32561,Beverage,Fanta,California,United States,Email,11/1/2014,1/2/2014,1/2/2014,2,0,USD 0 - 9999,USD 0,0 to 10,Unknown,1,0,0,1,No
0.570141236,26399,Biscuit,Nabisco,Washington,United States,Email,2/1/2014,13-01-2014,13-01-2014,3,150000,USD 0 - 9999,USD 0,0 to 10,Unknown,0,0.345794,0.654206,1,No
0.925307844,12765,Biscuit,Covenant,Washington,United States,Email,21-01-2014,21-01-2014,22-01-2014,2,15000,USD 0 - 9999,USD 0,0 to 10,Known,0,0,0,0,No
0.163741703,26964,Biscuit,Ritz,Washington,United States,Email,17-01-2014,17-01-2014,17-01-2014,1,12,USD 0 - 9999,USD 0,0 to 10,Unknown,0,0,0,0,No
0.980385008,16155,Biscuit,Arbo,Utah,United States,Email,26-01-2014,24-02-2014,24-02-2014,2,110000,USD 0 - 9999,USD 0,0 to 10,Unknown,0,1,0,1,No
0.757885952,2582,Beverage,Pepsi,Oregon,United States,Email,18-01-2014,3/2/2014,3/2/2014,3,105000,USD 0 - 9999,USD 100000 - 199999,21 to 30,Known,0.103659,0.896341,0,1,No
0.05237365,19890,Beverage,Coca Cola,Washington,United States,Email,23-01-2014,20-03-2014,20-03-2014,4,100000,USD 0 - 9999,USD 0,31 to 40,Unknown,0.338104,0.661896,0,1,No
0.854081425,36198,Biscuit,Covenant,Utah,United States,Email,6/1/2014,6/1/2014,6/1/2014,2,70000,USD 0 - 9999,USD 0,0 to 10,Unknown,0,1,0,1,No
0.291771339,23757,Biscuit,Arbo,Utah,United States,Email,17-01-2014,8/3/2014,8/3/2014,3,110000,USD 50000 - 99999,USD 0,11 to 20,Known,0.688889,0.311111,0,1,No
0.488032716,13792,Beverage,Coca Cola,Utah,United States,Email,3/1/2014,5/1/2014,5/1/2014,3,12000,USD 0 - 9999,USD 0,0 to 10,Unknown,0,1,0,1,No
0.55760274,17985,Beverage,Pepsi,Washington,United States,Email,21-01-2014,21-01-2014,21-01-2014,2,100000,USD 0 - 9999,USD 0,31 to 40,Unknown,0,0,0,0,No
0.786764762,25972,Biscuit,Oreo,Utah,United States,Email,26-01-2014,27-02-2014,28-02-2014,6,120000,USD 50000 - 99999,USD 0,31 to 40,Unknown,0.106383,0.255319,0.610942,0.972644,No
0.602371533,24567,Biscuit,Ritz,Texas,United States,Email,20-01-2014,3/2/2014,3/2/2014,2,80000,USD 0 - 9999,USD 0,0 to 10,Unknown,1,0,0,1,No
0.37274116,37314,Beverage,Coca Cola,Montana,United States,Email,28-01-2014,18-02-2014,18-02-2014,3,101000,USD 0 - 9999,USD 0,21 to 30,None,0.334906,0.665094,0,1,No
0.602259355,4794,Beverage,Pepsi,Utah,United States,Email,22-01-2014,2/2/2014,2/2/2014,3,70000,USD 0 - 9999,USD 0,0 to 10,Unknown,0.12963,0,0.87037,1,No
0.541393763,19872,Beverage,Coca Cola,Arizona,United States,Email,16-01-2014,24-02-2014,24-02-2014,2,105000,USD 100000 - 249999,USD 0,11 to 20,Known,0,0,1,1,No
0.507001549,36579,Biscuit,Ritz,California,United States,Email,22-01-2014,24-01-2014,24-01-2014,2,6975,USD 0 - 9999,USD 0,0 to 10,Unknown,0,0,1,1,No
0.204863073,38277,Beverage,Coca Cola,Utah,United States,Email,17-01-2014,15-02-2014,15-02-2014,6,50000,USD 100000 - 249999,USD 0,11 to 20,Unknown,0.063158,0.070175,0.866667,1,No
0.419695613,2919,Biscuit,Ritz,Utah,United States,Email,2/1/2014,7/1/2014,7/1/2014,3,1000000,USD 10000 - 24999,USD 0,41 and above,Unknown,0,1,0,1,No
0.284669026,33605,Biscuit,Nabisco,Utah,United States,Email,19-01-2014,25-01-2014,25-01-2014,2,100000,USD 10000 - 24999,USD 0,21 to 30,Unknown,0,1,0,1,No
0.623416788,4438,Beverage,Coca Cola,California,United States,Email,23-01-2014,5/2/2014,5/2/2014,2,108510,USD 0 - 9999,USD 0,0 to 10,Known,0,1,0,1,No
0.968162447,31836,Beverage,Coca Cola,California,United States,Email,10/1/2014,12/2/2014,12/2/2014,3,100000,USD 100000 - 249999,USD 0,11 to 20,None,0,0.128834,0.871166,1,No
0.02675477,7413,Biscuit,Ritz,Arizona,United States,Email,8/1/2014,15-01-2014,15-01-2014,3,50000,USD 0 - 9999,USD 0,0 to 10,Unknown,0.608696,0.391304,0,1,No
0.081182746,40156,Biscuit,Arbo,California,United States,Email,5/1/2014,9/1/2014,9/1/2014,2,150000,USD 0 - 9999,USD 0,41 and above,Unknown,1,0,0,1,No
0.589513929,7735,Beverage,Coca Cola,Washington,United States,Email,8/1/2014,10/1/2014,10/1/2014,2,19736,USD 0 - 9999,USD 0,0 to 10,Unknown,1,0,0,1,No
0.804035793,41214,Biscuit,Covenant,Montana,United States,Email,27-01-2014,7/2/2014,7/2/2014,2,550,USD 0 - 9999,USD 0,41 and above,None,0,1,0,1,No
0.870371911,23010,Beverage,Fanta,Montana,United States,Email,17-01-2014,17-01-2014,17-01-2014,2,20000,USD 0 - 9999,USD 0,21 to 30,None,0,0,0,0,No
0.761526895,992,Biscuit,Nabisco,Washington,United States,Email,12/1/2014,14-01-2014,14-01-2014,2,400000,USD 0 - 9999,USD 0,0 to 10,Unknown,1,0,0,1,No
0.536174053,20983,Beverage,Coca Cola,Oregon,United States,Email,20-01-2014,2/2/2014,2/2/2014,2,100000,USD 100000 - 249999,USD 0,41 and above,Unknown,0,1,0,1,No
0.860553583,12955,Biscuit,Ritz,California,United States,Email,1/1/2014,10/1/2014,10/1/2014,2,250023,USD 0 - 9999,USD 200000 and above,0 to 10,Unknown,0,0,1,1,No
0.10624389,19105,Beverage,Coca Cola,Utah,United States,Email,30-01-2014,4/2/2014,4/2/2014,2,100000,USD 0 - 9999,USD 0,0 to 10,Unknown,0,1,0,1,No
0.695064925,8564,Biscuit,Ritz,Arizona,United States,Email,2/1/2014,2/1/2014,2/1/2014,1,150000,USD 0 - 9999,USD 0,0 to 10,Unknown,0,0,0,0,No
0.042731591,1663,Beverage,Fanta,Texas,United States,Email,19-01-2014,19-03-2014,19-03-2014,5,500000,USD 100000 - 249999,USD 200000 and above,11 to 20,Known,0,0.417376,0.582624,1,No
0.379591989,5495,Beverage,Coca Cola,Arizona,United States,Email,19-01-2014,2/2/2014,2/2/2014,2,20000,USD 100000 - 249999,USD 0,0 to 10,Unknown,1,0,0,1,No
0.228016471,42345,Beverage,Pepsi,Utah,United States,Email,3/1/2014,27-01-2014,27-01-2014,2,80000,USD 0 - 9999,USD 0,31 to 40,Unknown,1,0,0,1,No
0.102794267,5687,Beverage,Pepsi,Utah,United States,Email,30-01-2014,3/2/2014,3/2/2014,2,306748,USD 0 - 9999,USD 0,0 to 10,Unknown,1,0,0,1,No
0.246404279,5844,Biscuit,Nabisco,Oregon,United States,Email,18-01-2014,2/2/2014,2/2/2014,2,50000,USD 0 - 9999,USD 0,0 to 10,Unknown,0,1,0,1,No
0.975749254,15695,Biscuit,Covenant,Utah,United States,Email,15-01-2014,1/2/2014,1/2/2014,3,9815,USD 0 - 9999,USD 25000 - 99999,0 to 10,Unknown,0,0.770588,0.229412,1,No
0.051106649,27719,Biscuit,Arbo,California,United States,Email,10/1/2014,18-01-2014,18-01-2014,2,10000,USD 10000 - 24999,USD 0,11 to 20,Unknown,1,0,0,1,No
0.620338887,1486,Biscuit,Arbo,Washington,United States,Email,22-01-2014,6/2/2014,6/2/2014,4,13000,USD 50000 - 99999,USD 100000 - 199999,21 to 30,Known,0.172185,0.788079,0,0.960264,No
0.082609002,15319,Biscuit,Oreo,Washington,United States,Email,19-01-2014,28-01-2014,28-01-2014,2,150000,USD 100000 - 249999,USD 0,41 and above,Unknown,0,1,0,1,No
0.328563647,13411,Biscuit,Covenant,Oregon,United States,Email,10/1/2014,17-01-2014,17-01-2014,2,60000,USD 0 - 9999,USD 0,41 and above,Unknown,0,1,0,1,No
0.311893188,44024,Biscuit,Ritz,Arizona,United States,Email,30-01-2014,20-02-2014,20-02-2014,2,101910,USD 0 - 9999,USD 0,0 to 10,Unknown,0,0,1,1,No
0.860081753,16604,Biscuit,Ritz,Utah,United States,Email,4/1/2014,10/1/2014,10/1/2014,2,200000,USD 0 - 9999,USD 0,0 to 10,Unknown,1,0,0,1,No
0.947908534,23302,Biscuit,Arbo,Texas,United States,Email,23-01-2014,26-01-2014,26-01-2014,2,100000,USD 50000 - 99999,USD 0,31 to 40,Unknown,1,0,0,1,No
0.628152602,44216,Beverage,Pepsi,Utah,United States,Email,26-01-2014,19-02-2014,19-02-2014,2,61349,USD 50000 - 99999,USD 0,0 to 10,Known,0,1,0,1,No
0.154493719,13395,Biscuit,Oreo,Washington,United States,Email,21-01-2014,25-01-2014,25-01-2014,2,1,USD 0 - 9999,USD 0,41 and above,None,0,0,1,1,No
0.116201394,42635,Biscuit,Arbo,California,United States,Email,26-01-2014,6/2/2014,6/2/2014,2,105000,USD 0 - 9999,USD 0,0 to 10,Unknown,1,0,0,1,No
0.281344364,37544,Biscuit,Nabisco,California,United States,Email,29-01-2014,6/2/2014,6/2/2014,3,20000,USD 0 - 9999,USD 0,0 to 10,Unknown,0,1,0,1,No
0.728976959,7635,Biscuit,Covenant,Utah,United States,Email,30-01-2014,18-03-2014,18-03-2014,2,30000,USD 25000 - 49999,USD 0,21 to 30,Unknown,0,1,0,1,No
0.198763214,18080,Biscuit,Nabisco,Oregon,United States,Email,6/1/2014,9/2/2014,9/2/2014,3,130000,USD 100000 - 249999,USD 0,31 to 40,Unknown,0.797619,0.202381,0,1,No
0.492062511,28153,Beverage,Coca Cola,Texas,United States,Email,21-01-2014,17-03-2014,17-03-2014,12,23000,USD 25000 - 49999,USD 0,41 and above,Known,0,0.525455,0.465455,0.99091,No
0.930512766,30900,Biscuit,Covenant,Washington,United States,Email,27-01-2014,1/2/2014,1/2/2014,2,50000,USD 0 - 9999,USD 0,0 to 10,Known,0,1,0,1,No
0.352815815,44511,Biscuit,Nabisco,California,United States,Email,18-01-2014,18-01-2014,9/2/2014,2,0,USD 50000 - 99999,USD 0,0 to 10,Unknown,0,0,0,0,No
0.889721747,13072,Biscuit,Oreo,Utah,United States,Email,24-01-2014,19-02-2014,19-02-2014,3,300000,USD 50000 - 99999,USD 0,21 to 30,Unknown,0,0.210938,0.789062,1,No
0.191516329,22478,Beverage,Pepsi,Montana,United States,Email,18-01-2014,24-02-2014,24-02-2014,4,700000,USD 0 - 9999,USD 0,0 to 10,Known,0.830645,0.169355,0,1,No
0.757785497,37634,Biscuit,Covenant,Utah,United States,Email,12/1/2014,19-01-2014,23-01-2014,6,17000,USD 0 - 9999,USD 0,31 to 40,Unknown,0,0,0.666667,0.666667,No
0.724439795,24012,Biscuit,Arbo,Arizona,United States,Email,12/1/2014,1/2/2014,1/2/2014,2,150000,USD 25000 - 49999,USD 0,0 to 10,Known,0,1,0,1,No
0.185844213,24239,Biscuit,Covenant,Utah,United States,Email,17-01-2014,17-01-2014,17-01-2014,2,50000,USD 100000 - 249999,USD 0,0 to 10,Known,0,0,0,0,No
0.832539515,28256,Biscuit,Oreo,Oregon,United States,Email,1/1/2014,16-02-2014,16-02-2014,4,100000,USD 0 - 9999,USD 0,41 and above,Known,0,0.056399,0.943601,1,No
0.463901021,18732,Milk,TruMoo,Oregon,United States,Email,17-01-2014,26-01-2014,26-01-2014,2,300000,USD 0 - 9999,USD 0,0 to 10,Unknown,0,1,0,1,No
0.66646205,8656,Beverage,Coca Cola,Oregon,United States,Email,15-01-2014,6/2/2014,23-02-2014,8,52000,USD 10000 - 24999,USD 0,0 to 10,Known,0.022901,0.127226,0.407125,0.557252,No
0.04224527,6069,Biscuit,Oreo,Utah,United States,Email,7/1/2014,4/3/2014,4/3/2014,2,250000,USD 0 - 9999,USD 0,21 to 30,Unknown,1,0,0,1,No
0.900035596,43568,Beverage,Coca Cola,California,United States,Email,15-01-2014,25-01-2014,25-01-2014,4,105000,USD 100000 - 249999,USD 0,41 and above,Unknown,0.2,0.8,0,1,No
0.217294379,1774,Biscuit,Nabisco,Oregon,United States,Email,22-01-2014,8/2/2014,8/2/2014,2,3000,USD 10000 - 24999,USD 0,11 to 20,None,1,0,0,1,No
0.53380102,43627,Biscuit,Oreo,Texas,United States,Email,15-01-2014,5/2/2014,5/2/2014,3,51000,USD 25000 - 49999,USD 0,11 to 20,Unknown,0.344498,0.655502,0,1,No
0.629577931,5876,Biscuit,Ritz,Utah,United States,Email,1/1/2014,15-01-2014,15-01-2014,2,20000,USD 50000 - 99999,USD 0,0 to 10,Unknown,1,0,0,1,No
0.414964624,5620,Beverage,Fanta,Oregon,United States,Email,19-01-2014,28-01-2014,28-01-2014,3,300000,USD 0 - 9999,USD 0,41 and above,None,0.902174,0,0.097826,1,No
0.508312616,7684,Biscuit,Covenant,Arizona,United States,Email,8/1/2014,19-01-2014,19-01-2014,2,25000,USD 100000 - 249999,USD 0,0 to 10,None,0,1,0,1,No
0.352625205,29802,Beverage,Fanta,Texas,United States,Email,5/1/2014,20-01-2014,20-01-2014,2,105000,USD 0 - 9999,USD 0,0 to 10,Unknown,0,1,0,1,No
0.900583764,18092,Beverage,Fanta,California,United States,Email,6/1/2014,20-01-2014,20-01-2014,5,20000,USD 25000 - 49999,USD 0,11 to 20,Known,0.098592,0.901408,0,1,No
0.292081354,9340,Beverage,Fanta,Utah,United States,Email,2/1/2014,17-01-2014,17-01-2014,2,60000,USD 100000 - 249999,USD 0,41 and above,Unknown,0,1,0,1,No
0.971404881,32545,Biscuit,Nabisco,Arizona,United States,Email,27-01-2014,3/3/2014,3/3/2014,2,120000,USD 0 - 9999,USD 0,0 to 10,None,0,1,0,1,No
0.460820335,3605,Biscuit,Ritz,California,United States,Email,15-01-2014,24-01-2014,24-01-2014,7,500000,USD 0 - 9999,USD 0,0 to 10,Known,0.195652,0.804348,0,1,No
0.419236689,4485,Beverage,Coca Cola,Utah,United States,Email,9/1/2014,15-01-2014,15-01-2014,2,0,USD 100000 - 249999,USD 0,0 to 10,Unknown,1,0,0,1,No
0.235975193,14050,Beverage,Fanta,California,United States,Email,29-01-2014,8/2/2014,8/2/2014,2,100000,USD 100000 - 249999,USD 0,41 and above,Unknown,0,1,0,1,No
0.95640407,9099,Biscuit,Arbo,Utah,United States,Email,19-01-2014,15-03-2014,15-03-2014,4,306748,USD 0 - 9999,USD 0,0 to 10,Unknown,0.555963,0.444037,0,1,No
0.335789064,12497,Biscuit,Oreo,Texas,United States,Email,28-01-2014,28-01-2014,28-01-2014,1,20000,USD 25000 - 49999,USD 0,11 to 20,Unknown,0,0,0,0,No
0.942696016,36147,Biscuit,Ritz,Arizona,United States,Email,4/1/2014,9/1/2014,9/1/2014,3,150000,USD 10000 - 24999,USD 0,0 to 10,Known,0.796296,0.203704,0,1,No
0.823506008,17125,Biscuit,Ritz,California,United States,Email,8/1/2014,1/3/2014,1/3/2014,6,200000,USD 0 - 9999,USD 0,0 to 10,Known,0,0.096712,0.903288,1,No
0.781650864,16857,Biscuit,Oreo,Montana,United States,Email,12/1/2014,13-01-2014,13-01-2014,2,200000,USD 0 - 9999,USD 0,0 to 10,Known,0,1,0,1,No
0.819254369,23959,Beverage,Fanta,Montana,United States,Email,3/1/2014,9/1/2014,9/1/2014,2,416,USD 0 - 9999,USD 0,0 to 10,Unknown,1,0,0,1,No
0.917219172,35449,Biscuit,Oreo,Montana,United States,Email,15-01-2014,15-01-2014,15-01-2014,2,150000,USD 25000 - 49999,USD 0,21 to 30,Unknown,1,0,0,1,No
0.468655886,5463,Biscuit,Chips Ahoy,Utah,United States,Email,11/1/2014,25-01-2014,10/2/2014,3,250000,USD 50000 - 99999,USD 0,0 to 10,Known,0,0,0.450658,0.450658,No
0.835309739,3783,Biscuit,Covenant,Arizona,United States,Email,4/1/2014,3/2/2014,3/2/2014,2,110000,USD 0 - 9999,USD 0,0 to 10,None,0,0,1,1,No
0.114976705,10882,Biscuit,Covenant,Washington,United States,Email,18-01-2014,4/2/2014,4/2/2014,9,50000,USD 0 - 9999,USD 200000 and above,0 to 10,Unknown,0.289941,0.650888,0.059172,1.000001,No
0.581998187,31406,Biscuit,Arbo,Utah,United States,Email,3/1/2014,25-01-2014,25-01-2014,4,10000,USD 0 - 9999,USD 0,21 to 30,Unknown,0,0.986111,0.013889,1,No
0.635621154,27756,Biscuit,Arbo,California,United States,Email,25-01-2014,3/2/2014,3/2/2014,2,15501,USD 0 - 9999,USD 0,0 to 10,Unknown,1,0,0,1,No
0.591815589,8925,Biscuit,Covenant,Arizona,United States,Email,14-01-2014,18-01-2014,18-01-2014,2,20000,USD 10000 - 24999,USD 0,31 to 40,Unknown,1,0,0,1,No
0.34872717,15841,Biscuit,Nabisco,Oregon,United States,Email,29-01-2014,3/2/2014,3/2/2014,2,60000,USD 50000 - 99999,USD 0,21 to 30,Unknown,0,1,0,1,No
0.479865851,41826,Biscuit,Ritz,Utah,United States,Email,28-01-2014,6/2/2014,6/2/2014,4,60000,USD 25000 - 49999,USD 0,0 to 10,Known,0.102273,0.102273,0.795455,1.000001,No
0.330534555,35798,Biscuit,Nabisco,Utah,United States,Email,25-01-2014,14-03-2014,14-03-2014,6,27200,USD 25000 - 49999,USD 0,0 to 10,None,0.423237,0.141079,0.435685,1.000001,No
0.1669699,7448,Biscuit,Covenant,Washington,United States,Email,31-01-2014,3/2/2014,3/2/2014,2,500000,USD 0 - 9999,USD 0,0 to 10,Unknown,1,0,0,1,No
0.595323545,865,Juice,Tropicana,Utah,United States,Email,27-01-2014,3/3/2014,3/3/2014,3,50000,USD 0 - 9999,USD 0,0 to 10,None,0.051873,0.948127,0,1,No
